No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,1997,1209,2298,5504
2,Kota Palopo,166,14,3,183
3,Kota Parepare,120,79,58,257
4,Kabupaten Bantaeng,164,3,0,167
5,Kabupaten Barru,71,9,4,84
6,Kabupaten Bone,321,22,7,350
7,Kabupaten Bulukumba,339,46,48,433
8,Kabupaten Enrekang,262,21,12,295
9,Kabupaten Gowa,539,287,339,1165
10,Kabupaten Jeneponto,496,35,17,548
11,Kabupaten Kepulauan Selayar,82,6,3,91
12,Kabupaten Luwu,239,3,7,249
13,Kabupaten Luwu Timur,446,87,462,995
14,Kabupaten Luwu Utara,251,40,4,295
15,Kabupaten Maros,266,70,98,434
16,Kabupaten Pangkajene Dan Kepulauan,128,42,19,189
17,Kabupaten Pinrang,415,25,16,456
18,Kabupaten Sidenreng Rappang,85,46,31,162
19,Kabupaten Sinjai,255,19,29,303
20,Kabupaten Soppeng,82,41,10,133
21,Kabupaten Takalar,59,34,41,134
22,Kabupaten Tana Toraja,225,10,8,243
23,Kabupaten Toraja Utara,162,3,2,167
24,Kabupaten Wajo,70,21,9,100
25,Rekreasi Duta Covid19 SulSel,8,0,589,597
26,RS Lain-lain,0,0,190,190
-,Jumlah Sulsel,7248,2172,4304,13724
