No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,628,467,440,1535
2,Kota Palopo,130,5,1,136
3,Kota Parepare,76,16,12,104
4,Kabupaten Bantaeng,146,3,0,149
5,Kabupaten Barru,64,4,0,68
6,Kabupaten Bone,290,9,5,304
7,Kabupaten Bulukumba,217,30,6,253
8,Kabupaten Enrekang,163,13,4,180
9,Kabupaten Gowa,302,181,39,522
10,Kabupaten Jeneponto,259,16,1,276
11,Kabupaten Kepulauan Selayar,71,4,2,77
12,Kabupaten Luwu,59,4,2,65
13,Kabupaten Luwu Timur,398,31,12,441
14,Kabupaten Luwu Utara,170,18,24,212
15,Kabupaten Maros,172,23,36,231
16,Kabupaten Pangkajene Dan Kepulauan,106,14,8,128
17,Kabupaten Pinrang,110,15,6,131
18,Kabupaten Sidenreng Rappang,88,31,22,141
19,Kabupaten Sinjai,205,13,6,224
20,Kabupaten Soppeng,67,17,5,89
21,Kabupaten Takalar,45,12,5,62
22,Kabupaten Tana Toraja,146,4,3,153
23,Kabupaten Toraja Utara,159,0,0,159
24,Kabupaten Wajo,58,6,1,65
-,Jumlah Sulsel,4129,936,640,5705
