No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,348,111,52,511
2,Kota Palopo,67,0,0,67
3,Kota Parepare,24,1,0,25
4,Kabupaten Bantaeng,80,3,0,83
5,Kabupaten Barru,56,1,0,57
6,Kabupaten Bone,237,4,0,241
7,Kabupaten Bulukumba,108,9,1,118
8,Kabupaten Enrekang,159,3,0,162
9,Kabupaten Gowa,103,23,13,139
10,Kabupaten Jeneponto,19,4,0,23
11,Kabupaten Kepulauan Selayar,39,1,0,40
12,Kabupaten Luwu,34,2,0,36
13,Kabupaten Luwu Timur,253,12,1,266
14,Kabupaten Luwu Utara,64,8,0,72
15,Kabupaten Maros,104,8,7,119
16,Kabupaten Pangkajene Dan Kepulauan,33,3,1,37
17,Kabupaten Pinrang,11,0,2,13
18,Kabupaten Sidenreng Rappang,70,26,3,99
19,Kabupaten Sinjai,117,7,0,124
20,Kabupaten Soppeng,28,2,0,30
21,Kabupaten Takalar,16,4,0,20
22,Kabupaten Tana Toraja,1,0,0,1
23,Kabupaten Toraja Utara,49,0,0,49
24,Kabupaten Wajo,50,1,0,51
-,Jumlah Sulsel,2070,233,80,2383
